name,layer,IN1,IN2,IN3,IN4,IN5,IN6,AC1,AC2,AC3,AC4,AC5,AC6,Extra1,Extra2,Extra3,Extra4
Acer_pseudoplatanus,t,0,4,0,2,0,0,2,0,0,0,4,0,2,0.5,0,0
Alnus_incana,t,8.75,2,0,2,37.5,4,18.75,8.75,4,37.5,18.75,18.75,8.75,8.75,8.75,8.75
Cornus_sanguinea,t,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Crataegus_monogyna,t,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Euonymus_europaeus,t,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraxinus_excelsior,t,8.75,8.75,8.75,8.75,37.5,18.75,62.5,8.75,8.75,18.75,4,0,0,0,2,4
Lonicera_xylosteum,t,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picea_abies,t,0,18.75,4,0,0,0,0,0,0,2,0,0,0,0,0,0
Prunus_padus,t,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Salix_alba,t,0,0,0,8.75,0,0,0,0,0,0,0,8.75,0,0,18.75,0
Salix_alba_x_eleagnos,t,0,0,8.75,0,0,0,0,8.75,4,0.5,2,0,0,0,0,0
Salix_eleagnos,t,0,0,0,0,0,0,0,0,0,0,0.5,18.75,0,0,0,0
Ulmus_glabra,t,0,0,0,0,0,0,0,18.75,37.5,2,0,18.75,4,37.5,8.75,0
Acer_pseudoplatanus,s,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,2,0.5
Alnus_incana,s,0.5,4,0,0.5,0.5,0.5,0,4,4,0,0,0,0,0,0,18.75
Cornus_sanguinea,s,0.5,0,0,2,0.5,2,8.75,4,2,4,4,8.75,0.5,0,4,0
Corylus_avellana,s,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Crataegus_monogyna,s,0,0,0,0,0.5,0,4,0.5,0,0.5,0,0.5,0,0.5,0,0.5
Daphne_mezereum,s,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
